,close,EMA_12,EMA_26,MACD,Signal,MACD_Histogram,Buy_Signal,Sell_Signal
28,238.2,240.0184160759457,240.98088859539152,-0.9624725194458108,-0.5456158210180703,-0.41685669842774054,False,False
29,238.88,239.84327514118485,240.82526721795512,-0.9819920767702683,-0.6328910721685099,-0.3491010046017584,False,False
30,239.86,239.84584819638718,240.75376594255104,-0.9079177461638608,-0.6878964069675801,-0.22002133919628064,False,False
31,239.83,239.8434100123276,240.6853388356954,-0.8419288233677946,-0.718702890247623,-0.1232259331201716,False,False
32,238.64,239.65827001043107,240.53383225527352,-0.875562244842456,-0.7500747611665897,-0.12548748367586637,False,False
33,238.45,239.47238231651858,240.37947431043844,-0.9070919939198632,-0.7814782077172444,-0.12561378620261876,False,False
34,238.16,239.2704773447465,240.21506880596152,-0.9445914612150261,-0.8141008584168008,-0.13049060279822533,False,False
35,238.3,239.12117313786243,240.07321185737177,-0.9520387195093463,-0.8416884306353098,-0.11035028887403642,False,False
36,239.83,239.23022342434513,240.0551961642331,-0.8249727398879827,-0.8383452924858446,0.013372552597861853,True,False
37,239.83,239.32249674367665,240.0385149668825,-0.7160182232058503,-0.8138798786298458,0.0978616554239955,False,False
38,239.0,239.2728818600341,239.9615879322986,-0.6887060722645231,-0.7888451173567813,0.10013904509225824,False,False
39,239.83,239.35859234310578,239.95184067805425,-0.5932483349484698,-0.7497257608751191,0.15647742592664926,False,False
40,239.98,239.4541935210895,239.95392655375394,-0.49973303266443736,-0.6997272152329828,0.1999941825685454,False,False
41,239.98,239.5350868255373,239.95585792014253,-0.420771094605243,-0.6439359911074348,0.22316489650219185,False,False
42,239.98,239.60353500622386,239.95764622235419,-0.35411121613032037,-0.585971036112012,0.23185981998169158,False,False
43,239.98,239.66145269757402,239.95930205773536,-0.29784936016133656,-0.5283467009218769,0.2304973407605403,False,False
44,239.0,239.5596907441011,239.88824264605125,-0.3285519019501635,-0.4883877411275342,0.1598358391773707,False,False
45,239.0,239.47358447577784,239.8224468944919,-0.34886241871404877,-0.4604826766448371,0.11162025793078834,False,False
46,239.3,239.44687917181204,239.78374712452953,-0.3368679527174834,-0.4357597318593664,0.09889177914188302,False,False
47,239.36,239.4335131453794,239.75235844863846,-0.318845303259053,-0.41237684613930375,0.09353154288025073,False,False
48,239.0,239.36681881532104,239.69662819318376,-0.32980937786271625,-0.39586335248398624,0.06605397462127,False,False
