buy_date,sell_date,buy_price,sell_price,profit,return_pct
2176,2178,265.49,265.05,-43.99999999999977,-0.16573128931409759
2180,2181,265.3,265.15,-15.00000000000341,-0.05653976630231214
2183,2189,265.33,265.2,-12.999999999999545,-0.04899559039686257
2198,2208,265.5,265.27,-23.00000000000182,-0.08662900188324603
2221,2222,265.38,265.07,-31.000000000000227,-0.11681362574421669
2239,2244,264.9,264.05,-84.99999999999659,-0.32087580218949263
2245,2246,264.44,264.1,-33.9999999999975,-0.1285735894720825
2249,2257,264.99,263.7,-129.00000000000205,-0.4868108230499341
2266,2302,264.8,266.15,134.9999999999966,0.5098187311178118
2322,2355,265.19,265.85,66.0000000000025,0.24887816282666203
2356,2380,266.4,272.04,564.0000000000043,2.1171171171171337
2413,2426,272.25,272.8,55.00000000000114,0.20202020202020618
2443,2454,272.89,272.55,-33.9999999999975,-0.12459232657846568
2474,2477,271.49,271.2,-29.000000000002046,-0.10681793067885391
2481,2500,271.5,271.01,-49.00000000000091,-0.1804788213628026
2515,2519,270.33,268.2,-212.99999999999955,-0.7879258683830856
2527,2550,269.32,271.0,168.00000000000068,0.6237932570919378
2559,2563,271.8,271.0,-80.00000000000114,-0.2943340691685104
2568,2570,271.55,270.87,-68.00000000000068,-0.2504142883446904
2595,2612,270.05,269.42,-62.999999999999545,-0.23329013145713587
2624,2628,270.2,268.61,-158.9999999999975,-0.5884529977794134
2633,2666,270.7,276.31,561.0000000000014,2.0724048762467726
2676,2691,280.51,282.59,207.9999999999984,0.7415065416562633
3000,3010,289.2,287.89,-131.00000000000023,-0.4529737206085762
3031,3043,284.43,281.73,-269.99999999999886,-0.9492669549625526
3063,3089,279.0,278.68,-31.999999999999318,-0.11469534050178966
3090,3119,278.91,282.3,338.99999999999864,1.2154458427449664
3165,3176,282.46,282.31,-14.999999999997726,-0.0531048644055715
3186,3193,282.92,282.8,-12.000000000000455,-0.04241481690937528
3227,3233,282.75,282.43,-31.999999999999318,-0.11317418213969696
3236,3238,282.72,282.25,-47.00000000000273,-0.16624221844935883
3245,3253,282.58,282.4,-18.000000000000682,-0.06369877556798316
3267,3270,282.51,282.21,-30.000000000001137,-0.10619093129447148
3271,3286,282.57,282.75,18.000000000000682,0.06370102983331806
3300,3306,282.98,282.75,-23.00000000000182,-0.08127782882183128
3321,3333,282.48,282.03,-45.00000000000455,-0.15930331350893706
3335,3349,282.2,281.99,-20.999999999997954,-0.07441530829198424
3365,3375,281.51,277.99,-351.9999999999982,-1.250399630563739
3386,3391,280.44,278.3,-213.99999999999864,-0.7630865782341986
3392,3416,279.49,283.6,411.00000000000136,1.4705356184478922
3446,3453,282.72,281.7,-102.00000000000387,-0.3607809847198778
3461,3464,281.65,281.09,-56.00000000000023,-0.19882833303745867
3480,3482,280.0,279.5,-50.0,-0.17857142857142858
3493,3523,278.77,279.03,25.99999999999909,0.09326685080890731
3524,3525,279.3,279.0,-30.000000000001137,-0.1074113856068784
3531,3539,279.29,279.0,-29.000000000002046,-0.10383472376383704
3543,3547,279.68,278.7,-98.00000000000182,-0.3504004576659104
3550,3566,279.6,279.71,10.99999999999568,0.039341917024305
3567,3568,280.0,279.9,-10.000000000002274,-0.03571428571429384
3600,3622,278.89,279.0,11.000000000001364,0.039442073935965306
3644,3655,278.86,279.03,16.999999999995907,0.06096249013840603
3677,3678,278.81,278.6,-20.999999999997954,-0.07532011046948801
3680,3681,278.86,278.41,-44.99999999999886,-0.1613712974252272
3682,3690,278.83,278.22,-60.99999999999568,-0.21877129433703577
3697,3699,278.81,278.1,-70.99999999999795,-0.25465370682542937
3707,3709,278.39,278.0,-38.999999999998636,-0.1400912389094387
3710,3713,278.43,277.59,-84.00000000000318,-0.3016916280573328
3720,3729,278.43,277.67,-75.99999999999909,-0.2729590920518589
3739,3745,277.9,277.6,-29.999999999995453,-0.10795250089958783
3750,3754,279.39,276.08,-331.0000000000002,-1.184723862700885
3765,3767,275.28,273.45,-182.9999999999984,-0.6647776809067075
3783,3818,266.34,264.07,-226.99999999999818,-0.8522940602237674
3829,3950,264.07,265.39,131.99999999999932,0.4998674593857663
3954,3959,266.47,265.6,-87.00000000000045,-0.32649078695538125
3970,3984,266.98,267.0,1.999999999998181,0.0074911978425282084
4003,4005,267.3,266.91,-38.999999999998636,-0.14590347923680747
4023,4038,266.95,266.67,-27.99999999999727,-0.1048885559093361
4059,4125,264.07,260.08,-399.0000000000009,-1.5109630022342595
4138,4181,259.48,261.72,224.0000000000009,0.863264991521508
4202,4206,263.0,260.82,-218.00000000000068,-0.8288973384030445
4208,4217,261.53,261.15,-37.999999999999545,-0.14529881849118476
4230,4235,262.27,261.7,-56.99999999999932,-0.21733328249513603
4240,4244,262.1,261.34,-76.00000000000477,-0.28996566196110174
4263,4295,260.46,261.39,93.00000000000068,0.35706058511863886
4305,4311,261.65,261.52,-12.999999999999545,-0.04968469329256467
4322,4329,261.66,261.01,-65.00000000000341,-0.24841397233051823
4344,4354,261.02,260.77,-25.0,-0.09577810129491993
4355,4357,261.18,260.82,-36.000000000001364,-0.1378359751895297
4363,4380,260.78,260.89,11.000000000001364,0.042181148861114216
4386,4392,261.47,261.0,-47.00000000000273,-0.179752935327199
4394,4402,261.46,261.28,-18.000000000000682,-0.06884418266656729
4405,4406,261.51,261.0,-50.99999999999909,-0.19502122289778245
4409,4410,261.41,261.26,-15.00000000000341,-0.05738112543515324
4412,4419,261.53,261.08,-44.99999999999886,-0.17206439031850598
4440,4446,259.86,259.2,-66.0000000000025,-0.25398291387671246
4460,4499,258.57,260.6,203.00000000000296,0.7850872104265885
4500,4514,263.99,266.62,262.99999999999955,0.996249857949163
4539,4558,264.58,265.85,127.00000000000387,0.4800060473202959
4584,4601,264.04,264.0,-4.000000000002046,-0.015149219815187269
4602,4620,264.88,264.84,-4.000000000002046,-0.015101177891883292
4635,4644,264.81,264.75,-6.000000000000227,-0.02265775461651836
4647,4648,264.98,264.71,-27.000000000003865,-0.10189448260247513
4649,4652,265.0,264.69,-31.000000000000227,-0.11698113207547255
4655,4657,264.94,264.64,-30.000000000001137,-0.11323318487205081
4683,4697,263.28,262.32,-95.99999999999795,-0.3646308113035474
4699,4719,262.53,263.12,59.00000000000318,0.2247362206224172
4741,4742,262.59,262.12,-46.999999999997044,-0.17898625233252238
4751,4766,262.52,262.0,-51.99999999999818,-0.19808014627456264
4771,4772,262.6,262.15,-45.00000000000455,-0.17136329017518867
4773,4785,262.54,262.69,14.999999999997726,0.057134150986507676
4786,4787,262.89,262.73,-15.999999999996817,-0.060861957472695107
4819,4833,262.57,262.0,-56.99999999999932,-0.21708496781810308
4834,4850,262.45,262.21,-24.00000000000091,-0.09144598971232963
4857,4866,263.29,263.12,-17.00000000000159,-0.06456758707129626
4890,4914,258.45,259.25,80.00000000000114,0.30953762816792857
4931,4951,258.74,258.77,2.9999999999972715,0.011594651000994324
4968,4992,258.0,257.36,-63.999999999998636,-0.2480620155038707
4996,5006,257.88,257.62,-25.99999999999909,-0.1008220877927683
5008,5022,257.98,257.7,-28.000000000002956,-0.10853554539112704
5030,5036,258.0,257.69,-31.000000000000227,-0.12015503875969082
5037,5043,257.95,257.8,-14.999999999997726,-0.05815080441945233
5049,5054,257.98,257.8,-18.000000000000682,-0.06977285060857694
5063,5077,257.86,257.75,-11.000000000001364,-0.04265880710463571
5088,5094,258.1,257.54,-56.00000000000023,-0.21697016660209306
5113,5116,256.98,256.65,-33.00000000000409,-0.12841466261967505
5117,5118,256.82,256.6,-21.999999999997044,-0.08566311034964974
5122,5137,256.98,256.81,-17.00000000000159,-0.06615300801619423
5145,5150,257.23,256.92,-31.000000000000227,-0.12051471445787904
5174,5203,255.69,255.53,-15.999999999999659,-0.06257577535296514
5207,5217,255.79,255.5,-28.999999999999204,-0.11337425231635015
5221,5223,255.95,255.78,-16.99999999999875,-0.0664192225043905
5232,5237,255.89,255.5,-38.999999999998636,-0.15240923834459588
5250,5260,257.4,258.75,135.00000000000227,0.5244755244755334
5278,5279,260.95,260.7,-25.0,-0.09580379383023568
5312,5322,261.0,260.75,-25.0,-0.09578544061302681
